language_code,subtopic,article_count
en,Policy,69
ar,Policy,33
fr,Policy,18
es,Policy,20
de,Policy,17
pt,Policy,14
zh,Policy,6
ru,Policy,6
uk,Policy,5
it,Policy,3
en,Adaptation,97
ar,Adaptation,34
fr,Adaptation,18
es,Adaptation,18
de,Adaptation,31
pt,Adaptation,12
zh,Adaptation,8
ru,Adaptation,9
uk,Adaptation,5
it,Adaptation,4
en,Environment,108
ar,Environment,27
fr,Environment,42
es,Environment,26
de,Environment,43
pt,Environment,24
zh,Environment,18
ru,Environment,33
uk,Environment,32
it,Environment,10
en,Science,20
ar,Science,0
fr,Science,8
es,Science,7
de,Science,34
pt,Science,4
zh,Science,23
ru,Science,2
uk,Science,1
it,Science,4
en,Sustainability,480
ar,Sustainability,181
fr,Sustainability,106
es,Sustainability,103
de,Sustainability,58
pt,Sustainability,65
zh,Sustainability,64
ru,Sustainability,18
uk,Sustainability,11
it,Sustainability,38
